Year,State,Forest Type,Forest Area (ha)
2011.5,New South Wales,Hardwood,93
2011.5,Victoria,Hardwood,206.6
2011.5,Queensland,Hardwood,41.4
2011.5,South Australia,Hardwood,59.7
2011.5,Western Australia,Hardwood,301
2011.5,Tasmania,Hardwood,235.6
2011.5,Northern Territory,Hardwood,39.4
2011.5,Aust. Capital Territory,Hardwood,0
2012.5,New South Wales,Hardwood,93
2012.5,Victoria,Hardwood,206.5
2012.5,Queensland,Hardwood,41.5
2012.5,South Australia,Hardwood,59.7
2012.5,Western Australia,Hardwood,298.9
2012.5,Tasmania,Hardwood,235.6
2012.5,Northern Territory,Hardwood,41.1
2012.5,Aust. Capital Territory,Hardwood,0
2013.5,New South Wales,Hardwood,90.6
2013.5,Victoria,Hardwood,206
2013.5,Queensland,Hardwood,41.6
2013.5,South Australia,Hardwood,59.7
2013.5,Western Australia,Hardwood,287.3
2013.5,Tasmania,Hardwood,235.6
2013.5,Northern Territory,Hardwood,42.3
2013.5,Aust. Capital Territory,Hardwood,0
2014.5,New South Wales,Hardwood,87.1
2014.5,Victoria,Hardwood,199
2014.5,Queensland,Hardwood,34.8
2014.5,South Australia,Hardwood,51.4
2014.5,Western Australia,Hardwood,276.4
2014.5,Tasmania,Hardwood,233.9
2014.5,Northern Territory,Hardwood,45.7
2014.5,Aust. Capital Territory,Hardwood,0
2015.5,New South Wales,Hardwood,87.1
2015.5,Victoria,Hardwood,199
2015.5,Queensland,Hardwood,34.8
2015.5,South Australia,Hardwood,51.4
2015.5,Western Australia,Hardwood,276.4
2015.5,Tasmania,Hardwood,233.9
2015.5,Northern Territory,Hardwood,45.7
2015.5,Aust. Capital Territory,Hardwood,0
2016.5,New South Wales,Hardwood,87.1
2016.5,Victoria,Hardwood,197.5
2016.5,Queensland,Hardwood,34.8
2016.5,South Australia,Hardwood,48.5
2016.5,Western Australia,Hardwood,260.9
2016.5,Tasmania,Hardwood,233.9
2016.5,Northern Territory,Hardwood,45.6
2016.5,Aust. Capital Territory,Hardwood,0
2017.5,New South Wales,Hardwood,87.1
2017.5,Victoria,Hardwood,196.3
2017.5,Queensland,Hardwood,34.8
2017.5,South Australia,Hardwood,44.8
2017.5,Western Australia,Hardwood,253.5
2017.5,Tasmania,Hardwood,233.9
2017.5,Northern Territory,Hardwood,45.5
2017.5,Aust. Capital Territory,Hardwood,0
2018.5,New South Wales,Hardwood,87.1
2018.5,Victoria,Hardwood,194.1
2018.5,Queensland,Hardwood,34.8
2018.5,South Australia,Hardwood,38.5
2018.5,Western Australia,Hardwood,250
2018.5,Tasmania,Hardwood,233.9
2018.5,Northern Territory,Hardwood,45.5
2018.5,Aust. Capital Territory,Hardwood,0
2019.5,New South Wales,Hardwood,55.7
2019.5,Victoria,Hardwood,161.9
2019.5,Queensland,Hardwood,18
2019.5,South Australia,Hardwood,43.9
2019.5,Western Australia,Hardwood,197.6
2019.5,Tasmania,Hardwood,199.5
2019.5,Northern Territory,Hardwood,46.9
2019.5,Aust. Capital Territory,Hardwood,0
2020.5,New South Wales,Hardwood,55
2020.5,Victoria,Hardwood,159.6
2020.5,Queensland,Hardwood,18
2020.5,South Australia,Hardwood,43.8
2020.5,Western Australia,Hardwood,194.3
2020.5,Tasmania,Hardwood,196.3
2020.5,Northern Territory,Hardwood,43.9
2020.5,Aust. Capital Territory,Hardwood,0
2011.5,New South Wales,Softwood,296.2
2011.5,Victoria,Softwood,225.9
2011.5,Queensland,Softwood,189.4
2011.5,South Australia,Softwood,128.5
2011.5,Western Australia,Softwood,98.4
2011.5,Tasmania,Softwood,75.1
2011.5,Northern Territory,Softwood,2.4
2011.5,Aust. Capital Territory,Softwood,7.7
2012.5,New South Wales,Softwood,296.5
2012.5,Victoria,Softwood,225.9
2012.5,Queensland,Softwood,189.4
2012.5,South Australia,Softwood,128.5
2012.5,Western Australia,Softwood,98.3
2012.5,Tasmania,Softwood,75.1
2012.5,Northern Territory,Softwood,2.4
2012.5,Aust. Capital Territory,Softwood,7.7
2013.5,New South Wales,Softwood,296.7
2013.5,Victoria,Softwood,226
2013.5,Queensland,Softwood,189.4
2013.5,South Australia,Softwood,128.5
2013.5,Western Australia,Softwood,98.5
2013.5,Tasmania,Softwood,75.1
2013.5,Northern Territory,Softwood,2.4
2013.5,Aust. Capital Territory,Softwood,7.7
2014.5,New South Wales,Softwood,305.7
2014.5,Victoria,Softwood,223.3
2014.5,Queensland,Softwood,195.5
2014.5,South Australia,Softwood,127.2
2014.5,Western Australia,Softwood,98.4
2014.5,Tasmania,Softwood,75.9
2014.5,Northern Territory,Softwood,1.9
2014.5,Aust. Capital Territory,Softwood,7.4
2015.5,New South Wales,Softwood,307.1
2015.5,Victoria,Softwood,223.3
2015.5,Queensland,Softwood,195.5
2015.5,South Australia,Softwood,127.2
2015.5,Western Australia,Softwood,98.4
2015.5,Tasmania,Softwood,75.9
2015.5,Northern Territory,Softwood,1.9
2015.5,Aust. Capital Territory,Softwood,7.4
2016.5,New South Wales,Softwood,307.1
2016.5,Victoria,Softwood,223.4
2016.5,Queensland,Softwood,195.5
2016.5,South Australia,Softwood,127.2
2016.5,Western Australia,Softwood,98.4
2016.5,Tasmania,Softwood,75.9
2016.5,Northern Territory,Softwood,1.9
2016.5,Aust. Capital Territory,Softwood,7.4
2017.5,New South Wales,Softwood,306
2017.5,Victoria,Softwood,223.4
2017.5,Queensland,Softwood,195.6
2017.5,South Australia,Softwood,127.2
2017.5,Western Australia,Softwood,99.7
2017.5,Tasmania,Softwood,75.8
2017.5,Northern Territory,Softwood,1.9
2017.5,Aust. Capital Territory,Softwood,7.4
2018.5,New South Wales,Softwood,306
2018.5,Victoria,Softwood,223.6
2018.5,Queensland,Softwood,195.6
2018.5,South Australia,Softwood,128.1
2018.5,Western Australia,Softwood,101.3
2018.5,Tasmania,Softwood,75.8
2018.5,Northern Territory,Softwood,1.9
2018.5,Aust. Capital Territory,Softwood,7.4
2019.5,New South Wales,Softwood,304
2019.5,Victoria,Softwood,224
2019.5,Queensland,Softwood,184.5
2019.5,South Australia,Softwood,128.3
2019.5,Western Australia,Softwood,97.7
2019.5,Tasmania,Softwood,78.5
2019.5,Northern Territory,Softwood,2.4
2019.5,Aust. Capital Territory,Softwood,8.7
2020.5,New South Wales,Softwood,292.5
2020.5,Victoria,Softwood,222.3
2020.5,Queensland,Softwood,184.5
2020.5,South Australia,Softwood,124.2
2020.5,Western Australia,Softwood,98.2
2020.5,Tasmania,Softwood,78
2020.5,Northern Territory,Softwood,1.9
2020.5,Aust. Capital Territory,Softwood,8.7
